==22360== NVPROF is profiling process 22360, command: /home/beatbat/.conda/envs/py37/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=35, pipe_handle=98) --multiprocessing-fork
==22360== Profiling application: /home/beatbat/.conda/envs/py37/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=35, pipe_handle=98) --multiprocessing-fork
==22360== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
66.9229s  38.336us           (6272 1 1)       (256 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float) [105164]
66.9230s  4.4148ms            (36 25 2)        (8 32 1)       123  12.020KB        0B         -           -           -           -   Tesla K40c (0)         1         7  cudnn_dgrad_sm35_ldg_nt_64x16x128x8x32 [105182]
66.9274s  168.36us            (224 2 1)       (256 1 1)        56  24.125KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>) [105201]
66.9276s  108.42us            (224 2 1)       (256 1 1)        56  16.500KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradDelta4x4<float, float>(cudnn::winograd_nonfused::WinogradDeltaParams<float, float>) [105204]
66.9277s  114.63us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [105332]
66.9277s  114.69us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [105230]
66.9277s  140.74us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [105247]
66.9278s  101.35us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [105264]
66.9278s  103.07us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [105281]
66.9278s  134.91us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [105298]
66.9279s  111.52us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [105315]
66.9279s  141.67us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [105349]
66.9279s  124.96us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [105468]
66.9280s  109.47us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [105366]
66.9280s  139.52us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [105383]
66.9280s  135.27us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [105400]
66.9280s  127.27us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [105417]
66.9281s  126.69us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [105434]
66.9281s  108.67us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [105451]
66.9281s  145.92us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [105485]
66.9282s  136.90us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [105604]
66.9282s  140.48us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [105502]
66.9282s  132.00us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [105519]
66.9283s  115.49us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [105536]
66.9283s  140.93us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [105553]
66.9283s  128.48us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [105570]
66.9283s  129.51us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [105587]
66.9284s  139.65us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [105621]
66.9284s  111.36us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [105740]
66.9284s  121.92us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [105638]
66.9285s  147.59us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [105655]
66.9285s  117.25us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [105672]
66.9285s  124.16us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [105689]
66.9286s  136.83us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [105706]
66.9286s  144.55us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [105723]
66.9286s  136.39us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [105757]
66.9287s  124.51us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [105774]
66.9287s  124.19us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [105791]
66.9287s  113.92us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [105808]
66.9287s  116.58us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [105825]
66.9289s  68.961us             (8 32 1)        (32 8 1)        62  9.0000KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, float>) [105845]
66.9290s  61.921us            (256 1 1)       (128 1 1)         9      512B        0B         -           -           -           -   Tesla K40c (0)         1         7  void calc_bias_diff<int=2, float, float, int=128, int=0>(cudnnTensorStruct, float const *, cudnnTensorStruct, float*, float, float, int) [105865]
66.9291s  38.080us           (1152 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [105874]
66.9292s  2.3680us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [105882]
66.9292s  104.35us           (3136 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ [105898]
66.9293s  271.97us            (256 1 1)       (512 1 1)        31      400B        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>(float, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnnTensorStruct, float const *, float, float const , float, cudnnTensorStruct*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>) [105937]
66.9296s  2.4320us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [105945]
66.9296s  2.2400us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [105953]
66.9297s  38.337us           (6272 1 1)       (256 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float) [105976]
66.9297s  4.4160ms            (36 25 2)        (8 32 1)       123  12.020KB        0B         -           -           -           -   Tesla K40c (0)         1         7  cudnn_dgrad_sm35_ldg_nt_64x16x128x8x32 [105994]
66.9342s  167.72us            (224 2 1)       (256 1 1)        56  24.125KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>) [106013]
66.9343s  107.20us            (224 2 1)       (256 1 1)        56  16.500KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradDelta4x4<float, float>(cudnn::winograd_nonfused::WinogradDeltaParams<float, float>) [106016]
66.9345s  88.801us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [106042]
66.9345s  131.62us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [106059]
66.9345s  130.75us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [106076]
66.9345s  129.70us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [106093]
66.9345s  141.25us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [106110]
66.9346s  112.51us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [106127]
66.9346s  136.07us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [106161]
66.9346s  124.96us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [106144]
66.9347s  121.35us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [106178]
